Year,LocationDesc,LocationAbbr,Category,Indicator,Datasource,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DataValueFootnote,IndicatorID,LocationID,IndicatorSortOrder,LocationSortOrder,Geolocation,DataValueAlt
2014,West Virginia,WV,Water Fluoridation,Total population served by CWS,WFRS,,Population,1509995.0,,,WFRS_State_3,54,22,49,"(38.665510202, -80.712640135)",1532138
2018,Oklahoma,OK,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",32.0,,,WFRS_State_4,40,23,37,"(35.472031356, -97.521070214)",32
2012,Oregon,OR,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",48.0,,,WFRS_State_4,41,23,38,"(44.567449424, -120.155031326)",48
2000,Nebraska,NE,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",26.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_4,31,23,28,"(41.641040988001, -99.365720623)",26
2018,Massachusetts,MA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3593419.0,,,WFRS_State_2,25,21,22,"(42.27687047, -72.082690675)",3593419
2000,Vermont,VT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.2,,,WFRS_State_1,50,20,46,"(43.625381239, -72.517640791)",54.2
2006,Massachusetts,MA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,59.1,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_1,25,20,22,"(42.27687047, -72.082690675)",59.1
2018,Louisiana,LA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",45.0,,,WFRS_State_4,22,23,19,"(31.312660644, -92.445680071)",45
2006,Utah,UT,Water Fluoridation,Total population served by CWS,WFRS,,Population,2242897.0,,,WFRS_State_3,49,22,45,"(39.360700171, -111.587130635)",2242897
2000,Oklahoma,OK,Water Fluoridation,Total population served by CWS,WFRS,,Population,3454508.0,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_3,40,22,37,"(35.472031356, -97.521070214)",3454508
2010,Ohio,OH,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,8772683.0,,,WFRS_State_2,39,21,36,"(40.060210141, -82.404260056)",8772683
2018,California,CA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,22613284.0,,,WFRS_State_2,6,21,5,"(37.638640123, -120.999999538)",22613284
2016,Pennsylvania,PA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5138571.0,,,WFRS_State_2,42,21,39,"(40.793730152, -77.860700294)",5138571
2014,Illinois,IL,Water Fluoridation,Total population served by CWS,WFRS,,Population,12880580.0,f,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_3,17,22,14,"(40.485010283, -88.997710178)",12880580
2000,Illinois,IL,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,93.4,,,WFRS_State_1,17,20,14,"(40.485010283, -88.997710178)",93.4
2012,Utah,UT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1384638.0,,,WFRS_State_2,49,21,45,"(39.360700171, -111.587130635)",1384638
2008,Utah,UT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.3,,,WFRS_State_1,49,20,45,"(39.360700171, -111.587130635)",54.3
2004,Georgia,GA,Water Fluoridation,Total population served by CWS,WFRS,,Population,8935151.0,e,"Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_3,13,22,11,"(32.839681093, -83.627580346)",8935151
2016,United States,US,Water Fluoridation,"Total U.S. population on fluoridated drinking water systems, persons",WFRS,,Population,201565162.0,"b,e","b: Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. A community water system (CWS) supplies water to the same population year-round. It serves at least 25 people at their primary residences or at least 15 residences that are primary residences (for example, municipalities, mobile home park, sub-divisions). http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm. e: Fluoridated population divided by population served by community water systems.",WFRS_Nat_3,US,3,0,,201565162
2002,New Jersey,NJ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1628180.0,,,WFRS_State_2,34,21,31,"(40.130570048, -74.273691288)",1628180
2006,Hawaii,HI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,8.4,"e,f",e: Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,15,20,12,"(21.304850435, -157.857749403)",8.4
2004,Mississippi,MS,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1459687.0,e,"Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,28,21,25,"(32.745510099, -89.538030825)",1459687
2004,New Jersey,NJ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,21.6,,,WFRS_State_1,34,20,31,"(40.130570048, -74.273691288)",21.6
2008,West Virginia,WV,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",13.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_4,54,23,49,"(38.665510202, -80.712640135)",13
2002,Mississippi,MS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,46.1,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,28,20,25,"(32.745510099, -89.538030825)",46.1
2016,Montana,MT,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",46.0,,,WFRS_State_4,30,23,27,"(47.066528972, -109.424420645)",46
2014,Delaware,DE,Water Fluoridation,Total population served by CWS,WFRS,,Population,818110.0,,,WFRS_State_3,10,22,8,"(39.008830667, -75.577741168)",818110
2000,Kentucky,KY,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",2.0,,,WFRS_State_4,21,23,18,"(37.645970271, -84.774971048)",2
2002,New Mexico,NM,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1200120.0,,,WFRS_State_2,35,21,32,"(34.520880952, -106.240580985)",1200120
2012,Nebraska,NE,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,71.2,,,WFRS_State_1,31,20,28,"(41.641040988001, -99.365720623)",71.2
2000,Indiana,IN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.3,,,WFRS_State_1,18,20,15,"(39.766910452, -86.149960194)",95.3
2016,Washington,WA,Water Fluoridation,Total population served by CWS,WFRS,,Population,6201066.0,,,WFRS_State_3,53,22,48,"(47.522278629, -120.47001079)",6201066
2004,Arizona,AZ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,55.8,,,WFRS_State_1,4,20,3,"(34.86597028, -111.763811277)",55.8
2018,Florida,FL,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,77.8,,,WFRS_State_1,12,20,10,"(28.932040377, -81.928960539)",77.8
2008,Delaware,DE,Water Fluoridation,Total population served by CWS,WFRS,,Population,819176.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_3,10,22,8,"(39.008830667, -75.577741168)",819176
2006,Kentucky,KY,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4199519.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_2,21,21,18,"(37.645970271, -84.774971048)",4199519
2014,Oklahoma,OK,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,62.6,,,WFRS_State_1,40,20,37,"(35.472031356, -97.521070214)",62.5
2004,Wisconsin,WI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3471706.0,,,WFRS_State_2,55,21,50,"(44.393191174, -89.816370742)",3471706
2000,Tennessee,TN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4749493.0,,,WFRS_State_2,47,21,43,"(35.68094058, -85.774490914)",4749493
2002,Indiana,IN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.6,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_1,18,20,15,"(39.766910452, -86.149960194)",95.6
2010,Arizona,AZ,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",38.0,,,WFRS_State_4,4,23,3,"(34.86597028, -111.763811277)",38
2018,United States,US,Water Fluoridation,"U.S. population on community water systems, persons",WFRS,,Population,284075868.0,"b,c","b: Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. A community water system (CWS) supplies water to the same population year-round. It serves at least 25 people at their primary residences or at least 15 residences that are primary residences (for example, municipalities, mobile home park, sub-divisions). http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm. e: Fluoridated population divided by population served by community water systems.",WFRS_Nat_2,US,2,0,,284075868
2016,Rhode Island,RI,Water Fluoridation,Total population served by CWS,WFRS,,Population,943071.0,,,WFRS_State_3,44,22,40,"(41.708280193, -71.522470314)",943071
2012,United States,US,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,74.6,,,WFRS_State_1,US,20,0,,74.6
2006,Connecticut,CT,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",17.0,,,WFRS_State_4,9,23,7,"(41.56266102, -72.649840952)",17
2014,Texas,TX,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,79.0,,,WFRS_State_1,48,20,44,"(31.827240407, -99.426770206)",79
2012,Hawaii,HI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",50.0,,,WFRS_State_4,15,23,12,"(21.304850435, -157.857749403)",50
2018,Colorado,CO,Water Fluoridation,Total population served by CWS,WFRS,,Population,5396543.0,,,WFRS_State_3,8,22,6,"(38.843840757, -106.133610921)",5396543
2016,Michigan,MI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6492531.0,,,WFRS_State_2,26,21,23,"(44.661319543001, -84.71439027)",6492531
2014,Minnesota,MN,Water Fluoridation,Total population served by CWS,WFRS,,Population,4215391.0,,,WFRS_State_3,27,22,24,"(46.355648736, -94.794200503)",4215391
2004,Illinois,IL,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",2.0,,,WFRS_State_4,17,23,14,"(40.485010283, -88.997710178)",2
2004,Massachusetts,MA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3648599.0,e,"Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,25,21,22,"(42.27687047, -72.082690675)",3648599
2006,Indiana,IN,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",6.0,,,WFRS_State_4,18,23,15,"(39.766910452, -86.149960194)",6
2008,Louisiana,LA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",47.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_4,22,23,19,"(31.312660644, -92.445680071)",47
2010,Maryland,MD,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5140618.0,,,WFRS_State_2,24,21,21,"(39.290580964, -76.609260111)",5140618
2004,Mississippi,MS,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",41.0,e,"Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_4,28,23,25,"(32.745510099, -89.538030825)",41
2016,Montana,MT,Water Fluoridation,Total population served by CWS,WFRS,,Population,742072.0,,,WFRS_State_3,30,22,27,"(47.066528972, -109.424420645)",742072
2016,Indiana,IN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4652921.0,,,WFRS_State_2,18,21,15,"(39.766910452, -86.149960194)",4652921
2004,Missouri,MO,Water Fluoridation,Total population served by CWS,WFRS,,Population,4928689.0,,,WFRS_State_3,29,22,26,"(38.635790776, -92.566300053)",4928689
2010,Hawaii,HI,Water Fluoridation,Total population served by CWS,WFRS,,Population,1290549.0,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_3,15,22,12,"(21.304850435, -157.857749403)",1290549
2014,Virginia,VA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6166729.0,,,WFRS_State_2,51,21,47,"(37.542680674, -78.457890463)",6213102
2010,United States,US,Water Fluoridation,Total population served by CWS,WFRS,,Population,276607387.0,,,WFRS_State_3,US,22,0,,276607387
2008,Pennsylvania,PA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5805181.0,,,WFRS_State_2,42,21,39,"(40.793730152, -77.860700294)",5805181
2006,Texas,TX,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",23.0,,,WFRS_State_4,48,23,44,"(31.827240407, -99.426770206)",23
2006,Georgia,GA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,8974302.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_2,13,21,11,"(32.839681093, -83.627580346)",8974302
2010,Missouri,MO,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,79.8,,,WFRS_State_1,29,20,26,"(38.635790776, -92.566300053)",79.8
2012,New York,NY,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",29.0,,,WFRS_State_4,36,23,33,"(42.827001032, -75.543970427)",29
2004,Michigan,MI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6640284.0,,,WFRS_State_2,26,21,23,"(44.661319543001, -84.71439027)",6640284
2010,California,CA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,22812721.0,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,6,21,5,"(37.638640123, -120.999999538)",22812721
2010,Delaware,DE,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,86.2,,,WFRS_State_1,10,20,8,"(39.008830667, -75.577741168)",86.2
2014,West Virginia,WV,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",14.0,,,WFRS_State_4,54,23,49,"(38.665510202, -80.712640135)",15
2012,Tennessee,TN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5229461.0,,,WFRS_State_2,47,21,43,"(35.68094058, -85.774490914)",5229461
2018,Wisconsin,WI,Water Fluoridation,Total population served by CWS,WFRS,,Population,4203809.0,,,WFRS_State_3,55,22,50,"(44.393191174, -89.816370742)",4203809
2010,Idaho,ID,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,30.5,,,WFRS_State_1,16,20,13,"(43.682630005, -114.363730042)",30.5
2006,Utah,UT,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",39.0,,,WFRS_State_4,49,23,45,"(39.360700171, -111.587130635)",39
2004,Maryland,MD,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,93.8,,,WFRS_State_1,24,20,21,"(39.290580964, -76.609260111)",93.8
2016,Arizona,AZ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3868307.0,,,WFRS_State_2,4,21,3,"(34.86597028, -111.763811277)",3868307
2016,Vermont,VT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,56.2,,,WFRS_State_1,50,20,46,"(43.625381239, -72.517640791)",56.2
2006,Georgia,GA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.5,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_1,13,20,11,"(32.839681093, -83.627580346)",95.5
2002,Pennsylvania,PA,Water Fluoridation,Total population served by CWS,WFRS,,Population,10398150.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_3,42,22,39,"(40.793730152, -77.860700294)",10398150
2014,Hawaii,HI,Water Fluoridation,Total population served by CWS,WFRS,,Population,1419561.0,f,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_3,15,22,12,"(21.304850435, -157.857749403)",1419561
2008,Colorado,CO,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3456845.0,e,"Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use care in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used. The 2008 vintage was used for the 2008 fluoridation statistics, and the 2006 vintage was used for the 2002, 2004, and 2006 statistics.",WFRS_State_2,8,21,6,"(38.843840757, -106.133610921)",3456845
2008,Michigan,MI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",15.0,,,WFRS_State_4,26,23,23,"(44.661319543001, -84.71439027)",15
2002,Ohio,OH,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,87.9,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,39,20,36,"(40.060210141, -82.404260056)",87.9
2002,New Jersey,NJ,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",48.0,,,WFRS_State_4,34,23,31,"(40.130570048, -74.273691288)",48
2010,Georgia,GA,Water Fluoridation,Total population served by CWS,WFRS,,Population,9687653.0,e,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_3,13,22,11,"(32.839681093, -83.627580346)",9687653
2012,Wisconsin,WI,Water Fluoridation,Total population served by CWS,WFRS,,Population,4025756.0,,,WFRS_State_3,55,22,50,"(44.393191174, -89.816370742)",4025756
2012,Florida,FL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,13371262.0,,,WFRS_State_2,12,21,10,"(28.932040377, -81.928960539)",13371262
2012,Utah,UT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,51.7,,,WFRS_State_1,49,20,45,"(39.360700171, -111.587130635)",51.7
2016,United States,US,Water Fluoridation,Population served by CWS with naturally occurring fluoride at or above optimal levels,WFRS,,Population,11283910.0,"b,e","b: Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. A community water system (CWS) supplies water to the same population year-round. It serves at least 25 people at their primary residences or at least 15 residences that are primary residences (for example, municipalities, mobile home park, sub-divisions). http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm. e: Fluoridated population divided by population served by community water systems.",WFRS_Nat_11,US,11,0,,11283910
2004,Kentucky,KY,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,99.8,,,WFRS_State_1,21,20,18,"(37.645970271, -84.774971048)",99.8
2014,Virginia,VA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.9,,,WFRS_State_1,51,20,47,"(37.542680674, -78.457890463)",95.8
2006,Michigan,MI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6664706.0,,,WFRS_State_2,26,21,23,"(44.661319543001, -84.71439027)",6664706
2004,Virginia,VA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",9.0,,,WFRS_State_4,51,23,47,"(37.542680674, -78.457890463)",9
2006,Oregon,OR,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",47.0,,,WFRS_State_4,41,23,38,"(44.567449424, -120.155031326)",47
2010,United States,US,Water Fluoridation,"Total U.S. population on fluoridated drinking water systems, persons",WFRS,,Population,204283554.0,b,"Reported in CDC Water Fluoridation Reporting System (WFRS). For purposes of this report, a water system is considered a community water system if so designated by the state drinking water administrator in accordance with the regulatory requirements of the U.S. Environmental Protection Agency. In general, public water systems provide water for human consumption through pipes or other constructed conveyances to at least 15 service connections, or serves an average of at least 25 people for at least 60 days a year. A community water system is a public water system that supplies water to the same population year-round. Available at http://water.epa.gov/infrastructure/drinkingwater/pws/factoids.cfm.",WFRS_Nat_3,US,3,0,,204283554
2010,Pennsylvania,PA,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",41.0,,,WFRS_State_4,42,23,39,"(40.793730152, -77.860700294)",41
2014,Colorado,CO,Water Fluoridation,Total population served by CWS,WFRS,,Population,5355866.0,f,Population served by CWS exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate.,WFRS_State_3,8,22,6,"(38.843840757, -106.133610921)",5355866
2018,Mississippi,MS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,60.7,,,WFRS_State_1,28,20,25,"(32.745510099, -89.538030825)",60.7
2008,Maryland,MD,Water Fluoridation,Total population served by CWS,WFRS,,Population,4847653.0,,,WFRS_State_3,24,22,21,"(39.290580964, -76.609260111)",4847653
2018,Texas,TX,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",30.0,,,WFRS_State_4,48,23,44,"(31.827240407, -99.426770206)",30
2010,Hawaii,HI,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",50.0,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_4,15,23,12,"(21.304850435, -157.857749403)",50
2018,Alabama,AL,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",23.0,,,WFRS_State_4,1,23,1,"(32.840571122, -86.631860762)",23
2016,Delaware,DE,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",19.0,,,WFRS_State_4,10,23,8,"(39.008830667, -75.577741168)",19
2018,Oregon,OR,Water Fluoridation,Total population served by CWS,WFRS,,Population,3533823.0,,,WFRS_State_3,41,22,38,"(44.567449424, -120.155031326)",3533823
2010,Alaska,AK,Water Fluoridation,Total population served by CWS,WFRS,,Population,643373.0,,,WFRS_State_3,2,22,2,"(64.845079957001, -147.722059036)",643373
2016,New Jersey,NJ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1159594.0,,,WFRS_State_2,34,21,31,"(40.130570048, -74.273691288)",1159594
2016,Georgia,GA,Water Fluoridation,Total population served by CWS,WFRS,,Population,8681891.0,,,WFRS_State_3,13,22,11,"(32.839681093, -83.627580346)",8681891
2010,New Jersey,NJ,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",49.0,,,WFRS_State_4,34,23,31,"(40.130570048, -74.273691288)",49
2002,Illinois,IL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,11155359.0,,,WFRS_State_2,17,21,14,"(40.485010283, -88.997710178)",11155359
2006,United States,US,Water Fluoridation,Number of CWS providing fluoridated water,WFRS,,Count,16412.0,b,Reported in CDC Water Fluoridation Reporting System (WRFS).,WFRS_Nat_7,US,7,0,,16412
2008,Connecticut,CT,Water Fluoridation,Rank of state by percent of CWS population receiving fluoridated water,WFRS,,"Rank [1,50]",14.0,,,WFRS_State_4,9,23,7,"(41.56266102, -72.649840952)",14
2014,Washington,WA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,63.9,,,WFRS_State_1,53,20,48,"(47.522278629, -120.47001079)",63.9
2016,Kansas,KS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,66.4,,,WFRS_State_1,20,20,17,"(38.3477403, -98.200781227)",66.4
2008,North Dakota,ND,Water Fluoridation,Total population served by CWS,WFRS,,Population,577894.0,,,WFRS_State_3,38,22,35,"(47.475319779, -100.118421049)",577894
